시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
43,3EDI7,2018,013,001,1.930,EASY DEVELOPMENT,USC2011,우일해운(주),MDG,02,정일2부두,2018-12-31 07:40,2018-12-31 17:20,MDG,02,정일2부두,2018-12-31 07:40,2018-12-31 17:20,적하,2019-01-02,허가완료
44,JD3225,2018,018,001,1.061,YUHO MARU NO.5,USC2011,우일해운(주),MDG,01,정일1부두,2018-12-31 23:45,2019-01-01 15:00,MDG,01,정일1부두,2018-12-31 23:45,2019-01-01 15:00,적하,2019-01-02,허가완료
45,3EDI7,2018,013,002,1.930,EASY DEVELOPMENT,USC2011,우일해운(주),WAM,01,정박지 01,2018-12-31 18:00,2019-01-01 09:45,WAM,01,정박지 01,2018-12-31 18:00,2019-01-01 09:45,급유,2019-01-02,허가완료
46,HSB5593,2018,001,001,6.522,MEYA,KMC0391,새한운항주식회사,MBR,01,UTK부두,2018-12-30 23:00,2018-12-31 22:25,MBR,01,UTK부두,2018-12-30 23:00,2018-12-31 22:25,양하,2019-01-02,허가완료
47,180016,2018,037,001,999,유니온가스,BSZ9145,유니온쉬핑(주),WAM,04,정박지 04,2018-12-31 05:30,2018-12-31 14:00,WAM,04,정박지 04,2018-12-31 05:30,2018-12-31 14:00,접안대기,2019-01-02,허가완료
48,H3SM,2018,001,001,34.773,BELISLAND,USC0003,울산해운(주),WAE,03,정박지-E3,2018-12-16 05:30,2018-12-18 08:50,WAE,03,정박지-E3,2018-12-16 05:30,2018-12-18 08:50,접안대기,2019-01-02,허가완료
49,D8SV,2018,016,001,8.504,뉴 실버,OST0091,성호해운(주),WAE,01,정박지-E1,2018-12-27 07:10,2018-12-29 07:10,WAE,01,정박지-E1,2018-12-27 07:10,2018-12-29 07:10,접안대기,2019-01-02,허가완료
50,HSB5593,2018,001,003,6.522,MEYA,KMC0391,새한운항주식회사,WAE,01,정박지-E1,2019-01-01 12:30,2019-01-01 19:12,WAE,01,정박지-E1,2019-01-01 12:30,2019-01-01 19:12,급유,2019-01-02,허가완료
51,HSB5593,2018,001,002,6.522,MEYA,KMC0391,새한운항주식회사,MDW,02,OTK부두,2018-12-31 22:42,2019-01-01 11:40,MDW,02,OTK부두,2018-12-31 22:42,2019-01-01 11:40,양하,2019-01-02,허가완료
52,D8SV,2018,016,002,8.504,뉴 실버,OST0091,성호해운(주),MDS,02,S-OIL2부두,2018-12-29 08:15,2018-12-30 10:30,MDS,02,S-OIL2부두,2018-12-29 08:15,2018-12-30 10:30,적하,2019-01-02,허가완료
53,3EON7,2018,001,001,7.551,,USC2056,에스티오울산(주),MB8,02,8부두 02,2018-12-29 10:12,2018-12-29 15:30,MB8,02,8부두 02,2018-12-29 10:12,2018-12-29 15:30,기타,2019-01-02,허가완료
54,H3SM,2018,001,002,34.773,BELISLAND,USC0003,울산해운(주),MBN,18,한진신항부두,2018-12-18 10:05,2018-12-31 14:15,MBN,18,한진신항부두,2018-12-18 10:05,2018-12-31 14:15,양하,2019-01-02,허가완료
55,3EON7,2018,001,002,7.551,,USC2056,에스티오울산(주),MDU,03,SK3부두,2018-12-29 16:00,2018-12-30 09:50,MDU,03,SK3부두,2018-12-29 16:00,2018-12-30 09:50,적하,2019-01-02,허가완료
56,3EON7,2018,001,003,7.551,,USC2056,에스티오울산(주),MDU,05,SK5부두,2018-12-30 10:25,2018-12-30 20:00,MDU,05,SK5부두,2018-12-30 10:25,2018-12-30 20:00,적하,2019-01-02,허가완료
57,3EON7,2018,001,004,7.551,,USC2056,에스티오울산(주),MBD,01,S-OIL 4부두 01,2018-12-30 20:50,2018-12-31 17:10,MBD,01,S-OIL 4부두 01,2018-12-30 20:50,2018-12-31 17:10,적하,2019-01-02,허가완료
58,180016,2018,037,002,999,유니온가스,BSZ9145,유니온쉬핑(주),MBL,01,가스부두,2018-12-31 14:40,2018-12-31 20:45,MBL,01,가스부두,2018-12-31 14:40,2018-12-31 20:45,적하,2019-01-02,허가완료
59,D9QY,2018,042,001,12.487,ILSHIN POLARIS ROYAL,PHT2001,일신해운물류주식회사,WAE,02,정박지-E2,2018-12-30 03:10,2018-12-31 13:25,WAE,02,정박지-E2,2018-12-30 03:10,2018-12-31 13:25,접안대기,2019-01-02,허가완료
60,120059,2019,001,002,415,부양에이스,BSK2527,부양해운,MBN,12,현대오일터미널신항부두,2019-01-01 19:15,2019-01-02 00:30,MBN,12,현대오일터미널신항부두,2019-01-01 19:15,2019-01-02 00:30,적하,2019-01-02,허가완료
61,D9QY,2018,042,002,12.487,ILSHIN POLARIS ROYAL,PHT2001,일신해운물류주식회사,MQP,01,미포부두 01,2018-12-31 17:30,2018-12-31 19:00,MQP,01,미포부두 01,2018-12-31 17:30,2018-12-31 19:00,적하,2019-01-02,허가완료
62,3FXX2,2018,028,001,5.707,CRANE GAIA,USC2054,새한마리타임(주),MDU,04,SK4부두,2018-12-30 08:50,2018-12-31 08:55,MDU,04,SK4부두,2018-12-30 08:50,2018-12-31 08:55,양하,2019-01-02,허가완료
63,3FXX2,2018,028,002,5.707,CRANE GAIA,USC2054,새한마리타임(주),WAE,01,정박지-E1,2018-12-31 09:50,2018-12-31 10:20,WAE,01,정박지-E1,2018-12-31 09:50,2018-12-31 10:20,기타,2019-01-02,허가완료
64,3FXX2,2018,028,003,5.707,CRANE GAIA,USC2054,새한마리타임(주),MB8,02,8부두 02,2018-12-31 11:10,2018-12-31 14:40,MB8,02,8부두 02,2018-12-31 11:10,2018-12-31 14:40,기타,2019-01-02,허가완료
65,D5CX8,2018,010,001,52.467,HYUNDAI PRESTIGE,KMS8802,에이치엠엠(주),MBC,03,신항컨테이너부두03,2018-12-31 07:12,2018-12-31 15:50,MBC,03,신항컨테이너부두03,2018-12-31 07:12,2018-12-31 15:50,양적하,2019-01-02,허가완료
