선박입출항현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청명 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항 : 외항입항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항시작일 : 20180101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항종료일 : 20180131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부선호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력자 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력일자 : 2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,국제톤수,징수톤수,입항일시,출항일시,CIO수속일자,수리일시,항해구분,MRN 번호,국적,국적,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,승무원(한국인),승무원(외국인),승객,예선,도선,부선호출부호1,부선호출부호2
울산,3FAW3,GAS SUMMIT,2018,001,최종,외항,입항,"47,454","47,454","47,454",2018-01-01 01:48,2018-01-05 15:36,2018-01-01 01:00,2018-01-08 08:24,기타,18KSSCUM01I,PA,파나마,WAE,03,정박지-E3,SINGAPORE,CRISTOBAL,LPG 운반선,13,9,,N,N,,
부산,D7UF,케이엠티씨 뭄바이,2018,001,최종,외항,입항,"51,872","51,872","51,872",2018-01-01 01:50,2018-01-01 16:54,2018-01-01 01:50,2018-01-02 09:12,기타,18KMTC0010I,PA,파나마,MS3,02,신항 3부두 2선석,광양,QINGDAO,풀컨테이너선,4,15,,Y,Y,,
대산,D7MC,포천 영인,2018,001,최종,외항,입항,"7,687","7,687","7,687",2018-01-01 01:50,2018-01-03 08:00,2018-01-01 02:50,2018-01-03 13:51,내외항자격변경,18DYSHA006I,KR,대한민국,WAA,04,A4 정박지,울산,NINGBO,석유제품 운반선,9,10,,Y,N,,
부산,5VEZ7,HAO FENG,2018,001,최종,외항,입항,"1,416","1,416","1,416",2018-01-01 02:10,2018-01-01 11:15,2018-01-01 02:10,2018-01-15 11:07,기타,18NBCA0002I,TG,토고,WAN,03,남외항 N-3박지,SHANGHAI,MIHARA,일반화물선,,10,,N,N,,
인천,5VFT3,미드랜드,2018,001,최종,외항,입항,"2,909","2,909","2,909",2018-01-01 02:20,2018-01-03 18:00,2018-01-01 08:00,2018-01-01 08:55,기타,18L37KA001I,KI,키리바시,MB1,05,1부두 15선석,SINGAPORE,평택.당진,일반화물선,,14,,Y,Y,,
인천,VRRE9,FENG ZE HUI TONG,2018,001,최종,외항,입항,"8,944","8,944","8,944",2018-01-01 02:25,2018-01-03 07:30,2018-01-01 07:20,2018-01-02 09:28,기타,18L54KI001I,PA,파나마,MB5,02,5부두 52선석,LIANYUNGANG,LIANYUNGANG,산물선(벌크선),,16,,N,N,,
광양,H3ZP,이에이에스라인 닝보,2018,001,최종,외항,입항,"16,145","16,145","16,145",2018-01-01 02:30,2018-01-01 08:05,2018-01-01 02:30,2018-01-25 14:12,기타,17EASK2217I,PA,파나마,MB7,0G,컨테이너부두3단계1차 7G선석,TIANJIN,부산,풀컨테이너선,,20,0,Y,Y,,
울산,D7AT,태경 이둔,2018,001,최종,외항,입항,"1,877","2,270","1,877",2018-01-01 03:00,2018-01-01 21:50,2018-01-01 08:00,2018-01-03 20:45,기타,18STUSI003I,KR,대한민국,WAE,01,정박지-E1,JIAXING,CAOJING,케미칼 운반선,10,5,,N,N,,
광양,D7AU,제니스 오로라,2018,001,최종,외항,입항,"4,477","4,477","4,477",2018-01-01 03:00,2018-01-10 02:40,2018-01-01 03:00,2018-01-11 09:38,기타,18ZENIA01AI,KR,대한민국,WAK,06,K-6 정박지,TOYOHASHI,SAKAISENBOKU,일반화물선,7,5,0,N,N,,
광양,3FUA2,EASLINE QINGDAO,2018,001,최종,외항,입항,"15,988","15,988","15,988",2018-01-01 03:25,2018-01-01 10:00,2018-01-01 03:25,2018-01-25 15:00,기타,17EASK2219I,PA,파나마,MB7,0C,컨테이너부두2단계2차 7C선석,부산,QINGDAO,풀컨테이너선,,20,0,Y,Y,,
