시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
62,130096,2018,026,002,5.199,디엘 제이드,BSK2634,동림탱커(주),MDU,05,SK5부두,2018-06-29 08:05,2018-06-30 05:10,MDU,05,SK5부두,2018-06-29 08:05,2018-06-30 05:10,양하,2018-07-02,허가완료
63,060945,2018,024,001,174,주원호,BSZ9063,삼안환경주식회사,WAE,03,정박지-E3,2018-06-29 15:15,2018-06-29 18:35,WAE,03,정박지-E3,2018-06-29 15:15,2018-06-29 18:35,적하,2018-07-02,허가완료
64,3ERD9,2018,001,001,17.515,A KIBO,KMC0211,만해항운한국(주),MBO,05,정일컨부두,2018-07-01 00:55,2018-07-01 18:45,MBO,05,정일컨부두,2018-07-01 00:55,2018-07-01 18:45,양적하,2018-07-02,허가완료
65,3EEX9,2018,001,001,59.217,GRAND NEPTUNE,KMC2092,엠오엘코리아(주),MBJ,01,자동차부두 01,2018-06-29 10:00,2018-06-29 22:10,MBJ,01,자동차부두 01,2018-06-29 10:00,2018-06-29 22:10,적하,2018-07-02,허가완료
66,DSNX2,2018,003,001,4.456,썬 페나테스호,USC2027,소영해운(주),MBP,01,염포부두 01,2018-06-28 09:10,2018-06-29 22:30,MBP,01,염포부두 01,2018-06-28 09:10,2018-06-29 22:30,양하,2018-07-02,허가완료
67,120059,2018,032,001,415,부양에이스,BSK2527,부양해운,WAM,06,정박지 06,2018-06-30 18:50,2018-06-30 23:25,WAM,06,정박지 06,2018-06-30 18:50,2018-06-30 23:25,기타,2018-07-02,허가완료
68,120059,2018,032,002,415,부양에이스,BSK2527,부양해운,MDS,01,S-OIL1부두,2018-07-01 00:10,2018-07-01 05:15,MDS,01,S-OIL1부두,2018-07-01 00:10,2018-07-01 05:15,적하,2018-07-02,허가완료
69,D8TM,2018,008,001,1.918,207 삼성호,BSZ9169,(주) 삼성해양개발,MWI,01,이진물양장,2018-06-30 04:10,2018-06-30 17:35,MWI,01,이진물양장,2018-06-30 04:10,2018-06-30 17:35,기타,2018-07-02,허가완료
70,A8NF4,2018,026,001,7.170,,KMS8832,고려해운(주),MBC,02,신항컨테이너부두02,2018-06-29 18:00,2018-06-30 00:00,MBC,01,신항컨테이너부두01,2018-06-29 18:00,2018-06-30 00:00,양적하,2018-07-02,허가완료
71,DSPD6,2018,033,001,1.755,그레이스삼부,BSK0104,삼부해운(주),MB3,02,3부두 02,2018-06-30 22:35,2018-07-01 11:40,MB3,02,3부두 02,2018-06-30 22:35,2018-07-01 11:40,적하,2018-07-02,허가완료
72,JG5415,2018,023,001,741,유요마루,USC2011,우일해운(주),WAE,02,정박지-E2,2018-06-29 08:20,2018-06-30 06:05,WAE,02,정박지-E2,2018-06-29 08:20,2018-06-30 06:05,접안대기,2018-07-02,허가완료
73,DSPL3,2018,017,001,5.598,자이언트 삼부,BSK0104,삼부해운(주),MB8,01,8부두 01,2018-07-01 11:05,2018-07-01 14:10,MB8,01,8부두 01,2018-07-01 11:05,2018-07-01 14:10,급유,2018-07-02,허가완료
74,DSPL3,2018,017,002,5.598,자이언트 삼부,BSK0104,삼부해운(주),MDG,02,정일2부두,2018-07-01 15:00,2018-07-02 00:40,MDG,02,정일2부두,2018-07-01 15:00,2018-07-02 00:40,적하,2018-07-02,허가완료
75,VRMM2,2018,008,001,17.134,WAN HAI 203,KMC2086,인터아시아라인즈코리아(주),MBO,05,정일컨부두,2018-07-01 23:20,2018-07-02 02:30,MBO,05,정일컨부두,2018-07-01 23:20,2018-07-02 02:30,적하,2018-07-02,허가완료
76,934345,2018,026,001,408,글로벌3호,BSK2662,동방급유,WAM,02,정박지 02,2018-07-01 12:10,2018-07-01 20:15,WAM,02,정박지 02,2018-07-01 12:10,2018-07-01 20:15,기타,2018-07-02,허가완료
77,934345,2018,026,002,408,글로벌3호,BSK2662,동방급유,MBN,12,현대오일터미널신항부두,2018-07-01 21:30,2018-07-02 01:20,MBN,12,현대오일터미널신항부두,2018-07-01 21:30,2018-07-02 01:20,적하,2018-07-02,허가완료
78,D8MW,2018,004,001,1.912,태경레아,BSB2444,오에스해운주식회사,MDW,01,유화1부두,2018-06-30 14:30,2018-07-01 05:05,MDW,01,유화1부두,2018-06-30 14:30,2018-07-01 05:05,적하,2018-07-02,허가완료
79,3EWD3,2018,022,001,3.765,CRANE LUNA,USC2046,씨에스해운,WAE,01,정박지-E1,2018-06-25 22:00,2018-06-26 15:10,WAE,01,정박지-E1,2018-06-25 22:00,2018-06-26 15:10,접안대기,2018-07-02,허가완료
80,3EWD3,2018,022,002,3.765,CRANE LUNA,USC2046,씨에스해운,MDU,04,SK4부두,2018-06-26 15:45,2018-06-27 10:00,MDU,04,SK4부두,2018-06-26 15:45,2018-06-27 10:00,양하,2018-07-02,허가완료
81,3EWD3,2018,022,003,3.765,CRANE LUNA,USC2046,씨에스해운,WAE,01,정박지-E1,2018-06-27 18:25,2018-06-30 03:10,WAE,01,정박지-E1,2018-06-27 18:25,2018-06-30 03:10,출항대기,2018-07-02,허가완료
82,DSQG9,2018,013,001,4.060,뉴스카이호,OST0091,성호해운(주),MDU,04,SK4부두,2018-06-28 09:15,2018-06-29 09:00,MDU,04,SK4부두,2018-06-28 09:15,2018-06-29 09:00,양하,2018-07-02,허가완료
83,A8OS6,2018,003,001,42.741,YM ETERNITY,KMS8802,에이치엠엠(주),MBC,03,신항컨테이너부두03,2018-06-29 15:00,2018-07-01 06:00,MBC,03,신항컨테이너부두03,2018-06-29 15:00,2018-07-01 06:00,양적하,2018-07-02,허가완료
84,3EVN9,2018,001,001,29.447,HIGH LEADER,USC2050,자이언트쉬핑앤트레이딩(주),WAE,02,정박지-E2,2018-06-30 18:48,2018-07-01 01:42,WAE,02,정박지-E2,2018-06-30 18:48,2018-07-01 01:42,급유,2018-07-02,허가완료
85,H8UX,2018,001,001,160.007,PIS PIONEER,USC0035,(주)쌍용에이젼시,MUD,02,S-OIL 2부이,2018-07-05 08:00,2018-07-08 12:00,MUY,03,SK부이 03,2018-07-05 08:00,2018-07-08 12:00,양하,2018-07-02,허가완료
86,3EWK3,2018,002,001,27.094,LOS ANDES BRIDGE,KMS8802,에이치엠엠(주),MBC,03,신항컨테이너부두03,2018-07-01 07:30,2018-07-02 00:10,MBC,03,신항컨테이너부두03,2018-07-01 07:30,2018-07-02 00:10,양적하,2018-07-02,허가완료
87,D8CN,2018,011,001,4.060,뉴 스텔라호,OST0091,성호해운(주),WAE,01,정박지-E1,2018-06-26 08:50,2018-06-28 11:50,WAE,01,정박지-E1,2018-06-26 08:50,2018-06-28 11:50,접안대기,2018-07-02,허가완료
88,D8CN,2018,011,002,4.060,뉴 스텔라호,OST0091,성호해운(주),MDS,03,S-OIL3부두,2018-06-28 12:30,2018-06-29 07:05,MDS,03,S-OIL3부두,2018-06-28 12:30,2018-06-29 07:05,적하,2018-07-02,허가완료
89,D8CN,2018,011,003,4.060,뉴 스텔라호,OST0091,성호해운(주),MB1,01,1부두 01,2018-06-29 08:40,2018-06-29 12:35,MB1,01,1부두 01,2018-06-29 08:40,2018-06-29 12:35,급유,2018-07-02,허가완료
90,DSDB8,2018,051,001,499,태하호,YSK0017,태하해운(주),WAM,01,정박지 01,2018-07-01 18:05,2018-07-02 00:40,WAM,01,정박지 01,2018-07-01 18:05,2018-07-02 00:40,화물대기,2018-07-02,허가완료
91,DSDB8,2018,051,002,499,태하호,YSK0017,태하해운(주),MBU,02,SK2부두 02,2018-07-02 01:00,2018-07-02 06:00,MBU,02,SK2부두 02,2018-07-02 01:00,2018-07-02 06:00,적하,2018-07-02,허가완료
92,D7CI,2018,002,001,2.677,제8에스제이가스,BSK2590,(주)에스제이탱커,MBL,01,가스부두,2018-06-30 22:00,2018-07-01 08:30,MBL,01,가스부두,2018-06-30 22:00,2018-07-01 08:30,적하,2018-07-02,허가완료
93,D7CI,2018,002,002,2.677,제8에스제이가스,BSK2590,(주)에스제이탱커,WAE,01,정박지-E1,2018-07-01 09:05,2018-07-01 13:30,WAE,01,정박지-E1,2018-07-01 09:05,2018-07-01 13:30,기타,2018-07-02,허가완료
94,D7SA,2018,012,001,2.673,미라클 로드,USC2059,세화해운 주식회사,MDW,01,유화1부두,2018-06-30 06:40,2018-06-30 22:25,MDW,01,유화1부두,2018-06-30 06:40,2018-06-30 22:25,적하,2018-07-02,허가완료
95,100611,2018,048,004,753,천진호,YSK0189,오션에너지,MLJ,01,장생포호안,2018-06-24 21:40,2018-06-30 20:10,MLJ,01,장생포호안,2018-06-24 21:40,2018-06-30 20:10,기타,2018-07-02,허가완료
96,100611,2018,048,005,753,천진호,YSK0189,오션에너지,MDS,02,S-OIL2부두,2018-06-30 21:20,2018-07-01 03:20,MDS,02,S-OIL2부두,2018-06-30 21:20,2018-07-01 03:20,적하,2018-07-02,허가완료
97,100611,2018,049,001,753,천진호,YSK0189,오션에너지,MLJ,01,장생포호안,2018-07-01 19:20,2018-07-02 07:00,MLJ,01,장생포호안,2018-07-01 19:20,2018-07-02 07:00,기타,2018-07-02,허가완료
98,DSQT6,2018,024,001,992,가스브로드웨이,BSK0004,덕양해운(주),WAM,01,정박지 01,2018-06-29 08:35,2018-06-30 05:15,WAM,01,정박지 01,2018-06-29 08:35,2018-06-30 05:15,접안대기,2018-07-02,허가완료
99,046316,2018,001,001,1.570,,BSK3224,정만해운(주),MBO,01,온산1부두,2018-06-28 18:50,2018-06-29 20:25,MBO,01,온산1부두,2018-06-28 18:50,2018-06-29 20:25,적하,2018-07-02,허가완료
100,DSQT6,2018,024,002,992,가스브로드웨이,BSK0004,덕양해운(주),MB6,03,6부두 03,2018-06-30 05:55,2018-07-01 00:45,MB6,03,6부두 03,2018-06-30 05:55,2018-07-01 00:45,양하,2018-07-02,허가완료
101,DSQT6,2018,024,003,992,가스브로드웨이,BSK0004,덕양해운(주),MBO,06,효성부두,2018-07-01 03:20,2018-07-01 15:55,MBO,06,효성부두,2018-07-01 03:20,2018-07-01 15:55,기타,2018-07-02,허가완료
102,DSQT6,2018,024,004,992,가스브로드웨이,BSK0004,덕양해운(주),MBL,01,가스부두,2018-07-01 17:00,2018-07-01 20:30,MBL,01,가스부두,2018-07-01 17:00,2018-07-01 20:30,적하,2018-07-02,허가완료
103,039076,2018,013,001,2.777,울산705호,USK2215,(주)울산선박,MQP,03,현중해양의장안벽,2018-06-26 00:10,2018-06-29 15:35,MQP,03,현중해양의장안벽,2018-06-26 00:10,2018-06-29 15:35,급유,2018-07-02,허가완료
104,918511,2018,004,001,1.830,제19금진,BSK2002,금진해운(주),MQP,03,현중해양의장안벽,2018-06-26 07:50,2018-06-29 14:30,MQP,03,현중해양의장안벽,2018-06-26 07:50,2018-06-29 14:30,양하,2018-07-02,허가완료
105,DSQH5,2018,018,001,2.486,케이티에스 블루,KMA2213,케이티에스해운 주식회사,MB4,01,4부두 01,2018-07-01 16:00,2018-07-02 06:10,MB4,01,4부두 01,2018-07-01 16:00,2018-07-02 06:10,양하,2018-07-02,허가완료
106,130079,2018,037,001,424,대정,BSB2154,대정마린(주),WAM,04,정박지 04,2018-07-01 14:05,2018-07-01 15:15,WAM,04,정박지 04,2018-07-01 14:05,2018-07-01 15:15,기타,2018-07-02,허가완료
